127.0.0.1 - - [26/May/2015:17:10:26 -0500] "GET / HTTP/1.1" 404 1004
127.0.0.1 - - [26/May/2015:17:10:35 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:10:41 -0500] "GET /TecsupMobileProject/login.jsp HTTP/1.1" 200 2195
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/login.jsp HTTP/1.1" 200 2195
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/assets/js/jquery.min.js HTTP/1.1" 200 95790
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:10:42 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:10:43 -0500] "GET /TecsupMobileProject/login HTTP/1.1" 404 1054
127.0.0.1 - - [26/May/2015:17:11:04 -0500] "POST /TecsupMobileProject/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/May/2015:17:12:07 -0500] "POST /TecsupMobileProject/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/May/2015:17:14:29 -0500] "POST /TecsupMobileProject/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/May/2015:17:15:27 -0500] "POST /TecsupMobileProject/Login HTTP/1.1" 200 -
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "POST /TecsupMobileProject/Login HTTP/1.1" 200 2221
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/js/jquery.min.js HTTP/1.1" 200 95790
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/css/main.css HTTP/1.1" 200 44934
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/js/jquery.dropotron.min.js HTTP/1.1" 200 4330
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/js/skel.min.js HTTP/1.1" 200 8931
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/js/skel-viewport.min.js HTTP/1.1" 200 1186
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/css/font-awesome.min.css HTTP/1.1" 200 23742
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/js/main.js HTTP/1.1" 200 2020
127.0.0.1 - - [26/May/2015:17:17:03 -0500] "GET /TecsupMobileProject/assets/js/util.js HTTP/1.1" 200 12400
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/login.jsp HTTP/1.1" 200 2197
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/js/jquery.dropotron.min.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/js/skel.min.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/js/util.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/js/skel-viewport.min.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:05 -0500] "GET /TecsupMobileProject/assets/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:17:27:19 -0500] "POST /TecsupMobileProject/Login HTTP/1.1" 200 2223
